activity_name,activity_definition_id,activity_instance_ids_guess,problem_name,domain,bddl_path,robot_type,robot_type_source,objects_count,object_synsets,rooms,predicates,eval_command_guess
adding_chemicals_to_hot_tub,0,[0],adding_chemicals_to_hot_tub-0,omnigibson,/home/anuriha/BEHAVIOR-1K/bddl3/bddl/activity_definitions/adding_chemicals_to_hot_tub/problem0.bddl,R1Pro,--robot-type,6,"[""agent.n.01"", ""chlorine.n.01"", ""chlorine__bottle.n.01"", ""floor.n.01"", ""hot_tub.n.02"", ""water.n.06""]","[""garden""]","[""contains"", ""filled"", ""inroom"", ""ontop""]",python /home/anuriha/BEHAVIOR-1K/OmniGibson/omnigibson/learning/eval.py log_path=./logs/adding_chemicals_to_hot_tub_eval policy=websocket task.name=adding_chemicals_to_hot_tub task.activity_definition_id=0 eval_instance_ids='[0]' model.host=localhost
adding_chemicals_to_lawn,0,[0],adding_chemicals_to_lawn-0,omnigibson,/home/anuriha/BEHAVIOR-1K/bddl3/bddl/activity_definitions/adding_chemicals_to_lawn/problem0.bddl,R1Pro,--robot-type,7,"[""agent.n.01"", ""fertilizer.n.01"", ""fertilizer__atomizer.n.01"", ""floor.n.01"", ""herbicide.n.01"", ""herbicide__bottle.n.01"", ""lawn.n.01""]","[""garden""]","[""covered"", ""filled"", ""inroom"", ""insource"", ""ontop""]",python /home/anuriha/BEHAVIOR-1K/OmniGibson/omnigibson/learning/eval.py log_path=./logs/adding_chemicals_to_lawn_eval policy=websocket task.name=adding_chemicals_to_lawn task.activity_definition_id=0 eval_instance_ids='[0]' model.host=localhost
adding_chemicals_to_pool,0,[0],adding_chemicals_to_pool-0,omnigibson,/home/anuriha/BEHAVIOR-1K/bddl3/bddl/activity_definitions/adding_chemicals_to_pool/problem0.bddl,R1Pro,--robot-type,8,"[""agent.n.01"", ""disinfectant.n.01"", ""disinfectant__bottle.n.01"", ""floor.n.01"", ""pool.n.01"", ""sodium_carbonate.n.01"", ""sodium_carbonate__jar.n.01"", ""water.n.06""]","[""garden""]","[""contains"", ""filled"", ""inroom"", ""ontop""]",python /home/anuriha/BEHAVIOR-1K/OmniGibson/omnigibson/learning/eval.py log_path=./logs/adding_chemicals_to_pool_eval policy=websocket task.name=adding_chemicals_to_pool task.activity_definition_id=0 eval_instance_ids='[0]' model.host=localhost
adding_fabric_softener,0,[0],adding_fabric_softener-0,omnigibson,/home/anuriha/BEHAVIOR-1K/bddl3/bddl/activity_definitions/adding_fabric_softener/problem0.bddl,R1Pro,--robot-type,7,"[""agent.n.01"", ""fabric_softener.n.01"", ""fabric_softener__bottle.n.01"", ""floor.n.01"", ""sheet.n.03"", ""washer.n.03"", ""wrinkle.n.01""]","[""utility_room""]","[""contains"", ""covered"", ""filled"", ""inroom"", ""inside"", ""ontop""]",python /home/anuriha/BEHAVIOR-1K/OmniGibson/omnigibson/learning/eval.py log_path=./logs/adding_fabric_softener_eval policy=websocket task.name=adding_fabric_softener task.activity_definition_id=0 eval_instance_ids='[0]' model.host=localhost
applying_pesticides,0,[0],applying_pesticides-0,omnigibson,/home/anuriha/BEHAVIOR-1K/bddl3/bddl/activity_definitions/applying_pesticides/problem0.bddl,R1Pro,--robot-type,5,"[""agent.n.01"", ""floor.n.01"", ""lawn.n.01"", ""pesticide.n.01"", ""pesticide__atomizer.n.01""]","[""garden""]","[""covered"", ""inroom"", ""insource"", ""ontop""]",python /home/anuriha/BEHAVIOR-1K/OmniGibson/omnigibson/learning/eval.py log_path=./logs/applying_pesticides_eval policy=websocket task.name=applying_pesticides task.activity_definition_id=0 eval_instance_ids='[0]' model.host=localhost
assembling_furniture,0,[0],assembling_furniture-0,omnigibson,/home/anuriha/BEHAVIOR-1K/bddl3/bddl/activity_definitions/assembling_furniture/problem0.bddl,R1Pro,--robot-type,8,"[""agent.n.01"", ""desk_bracket.n.01"", ""desk_leg.n.01"", ""desk_top.n.01"", ""floor.n.01""]","[""living_room""]","[""attached"", ""inroom"", ""ontop""]",python /home/anuriha/BEHAVIOR-1K/OmniGibson/omnigibson/learning/eval.py log_path=./logs/assembling_furniture_eval policy=websocket task.name=assembling_furniture task.activity_definition_id=0 eval_instance_ids='[0]' model.host=localhost
assembling_gift_baskets,0,[0],assembling_gift_baskets-0,omnigibson,/home/anuriha/BEHAVIOR-1K/bddl3/bddl/activity_definitions/assembling_gift_baskets/problem0.bddl,R1Pro,--robot-type,23,"[""agent.n.01"", ""bow.n.08"", ""butter_cookie.n.01"", ""candle.n.01"", ""floor.n.01"", ""swiss_cheese.n.01"", ""table.n.02"", ""wicker_basket.n.01""]","[""living_room""]","[""inroom"", ""inside"", ""ontop""]",python /home/anuriha/BEHAVIOR-1K/OmniGibson/omnigibson/learning/eval.py log_path=./logs/assembling_gift_baskets_eval policy=websocket task.name=assembling_gift_baskets task.activity_definition_id=0 eval_instance_ids='[0]' model.host=localhost
attach_a_camera_to_a_tripod,0,[0],attach_a_camera_to_a_tripod-0,omnigibson,/home/anuriha/BEHAVIOR-1K/bddl3/bddl/activity_definitions/attach_a_camera_to_a_tripod/problem0.bddl,R1Pro,--robot-type,4,"[""agent.n.01"", ""camera_tripod.n.01"", ""digital_camera.n.01"", ""floor.n.01""]","[""bedroom""]","[""attached"", ""inroom"", ""ontop""]",python /home/anuriha/BEHAVIOR-1K/OmniGibson/omnigibson/learning/eval.py log_path=./logs/attach_a_camera_to_a_tripod_eval policy=websocket task.name=attach_a_camera_to_a_tripod task.activity_definition_id=0 eval_instance_ids='[0]' model.host=localhost
bag_groceries,0,[0],bag_groceries-0,omnigibson,/home/anuriha/BEHAVIOR-1K/bddl3/bddl/activity_definitions/bag_groceries/problem0.bddl,R1Pro,--robot-type,9,"[""agent.n.01"", ""apple.n.01"", ""bottle__of__orange_juice.n.01"", ""canned_food.n.01"", ""checkout.n.03"", ""egg.n.02"", ""floor.n.01"", ""sack.n.01""]","[""grocery_store""]","[""inroom"", ""inside"", ""ontop""]",python /home/anuriha/BEHAVIOR-1K/OmniGibson/omnigibson/learning/eval.py log_path=./logs/bag_groceries_eval policy=websocket task.name=bag_groceries task.activity_definition_id=0 eval_instance_ids='[0]' model.host=localhost
baking_cookies_for_the_PTA_bake_sale,0,[0],baking_cookies_for_the_PTA_bake_sale-0,omnigibson,/home/anuriha/BEHAVIOR-1K/bddl3/bddl/activity_definitions/baking_cookies_for_the_PTA_bake_sale/problem0.bddl,R1Pro,--robot-type,29,"[""agent.n.01"", ""baking_powder.n.01"", ""baking_powder__jar.n.01"", ""bowl.n.01"", ""cookie_sheet.n.01"", ""countertop.n.01"", ""electric_mixer.n.01"", ""electric_refrigerator.n.01"", ""floor.n.01"", ""flour.n.01"", ""flour__sack.n.01"", ""granulated_sugar.n.01"", ""mason_jar.n.01"", ""melted__butter.n.01"", ""oven.n.01"", ""raw_egg.n.01"", ""salt.n.02"", ""salt__shaker.n.01"", ""sugar__sack.n.01"", ""sugar_cookie.n.01"", ""tablespoon.n.02"", ""vanilla.n.02"", ""vanilla__bottle.n.01""]","[""kitchen""]","[""cooked"", ""filled"", ""future"", ""inroom"", ""inside"", ""insource"", ""ontop"", ""real""]",python /home/anuriha/BEHAVIOR-1K/OmniGibson/omnigibson/learning/eval.py log_path=./logs/baking_cookies_for_the_PTA_bake_sale_eval policy=websocket task.name=baking_cookies_for_the_PTA_bake_sale task.activity_definition_id=0 eval_instance_ids='[0]' model.host=localhost
